ID,Group,Prt_Exclude,Sequence,Seq_Exclude,Bag_Origin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3384,SCZ,n,1,y,0.0,"(0, 0.218)","(0, 0.11599999999999999)","(1, 0.304)","(1, 0.5)","(0, 0.278)","(0, 0.131)","(0, 0.092)","(1, 0.251)","(1, 0.655)","(1, 0.767)","(0, 0.5)","(0, 0.298)","(1, 0.5)","(1, 0.6920000000000001)","(1, 0.7020000000000001)","(1, 0.8420000000000001)","(1, 0.8909999999999999)","(1, 0.998)","(0, 0.7)","(0, 0.5)"
3384,SCZ,n,2,n,1.0,"(1, 0.612)","(1, 0.737)","(1, 0.82)","(1, 0.9009999999999999)","(1, 0.996)","(1, 0.987)","(1, 0.981)","(1, 0.981)","(1, 0.9890000000000001)","(1, 0.983)","(1, 0.985)","(1, 0.981)","(0, 0.981)","(0, 0.332)","(0, 0.203)","(0, 0.11800000000000001)","(0, 0.017)","(0, 0.006)","(0, 0.011000000000000001)","(0, 0.009000000000000001)"
3384,SCZ,n,3,y,0.0,"(0, 0.317)","(1, 0.5)","(0, 0.203)","(0, 0.214)","(0, 0.086)","(0, 0.009000000000000001)","(1, 0.34)","(0, 0.263)","(0, 0.135)","(1, 0.321)","(0, 0.141)","(0, 0.03)","(0, 0.032)","(0, 0.013000000000000001)","(0, 0.015)","(0, 0.011000000000000001)","(0, 0.009000000000000001)","(0, 0.0)","(1, 0.002)","(0, 0.0)"
3384,SCZ,n,4,n,1.0,"(1, 0.649)","(1, 0.7070000000000001)","(1, 0.809)","(1, 0.904)","(1, 0.9740000000000001)","(1, 0.985)","(1, 0.976)","(1, 0.9890000000000001)","(1, 0.996)","(1, 0.9890000000000001)","(0, 0.991)","(1, 0.9890000000000001)","(1, 0.9940000000000001)","(0, 0.805)","(1, 0.996)","(1, 0.996)","(1, 0.9790000000000001)","(1, 0.9790000000000001)","(0, 0.8009999999999999)","(1, 0.996)"
3384,SCZ,n,5,y,1.0,"(1, 0.672)","(1, 0.8009999999999999)","(1, 0.899)","(1, 0.985)","(1, 0.983)","(1, 0.9890000000000001)","(1, 0.996)","(0, 0.767)","(1, 0.996)","(1, 0.991)","(1, 0.991)","(1, 0.9890000000000001)","(1, 0.987)","(1, 0.998)","(0, 0.818)","(1, 0.998)","(1, 0.991)","(1, 0.987)","(1, 0.9940000000000001)","(1, 0.987)"
3588,SCZ,n,1,y,0.0,"(0, 0.131)","(0, 0.12)","(0, 0.0)","(1, 0.565)","(0, 0.124)","(1, 0.591)","(1, 0.617)","(1, 0.767)","(0, 0.409)","(0, 0.345)","(1, 0.615)","(1, 0.754)","(0, 0.4)","(0, 0.285)","(0, 0.16899999999999998)","(1, 0.63)","(0, 0.336)","(0, 0.16699999999999998)","(0, 0.128)","(1, 0.638)"
3588,SCZ,n,2,n,0.0,"(0, 0.0)","(0, 0.201)","(0, 0.11800000000000001)","(1, 0.19699999999999998)","(1, 0.255)","(1, 0.39)","(1, 0.6809999999999999)","(1, 0.882)","(1, 0.831)","(0, 0.852)","(1, 0.867)","(0, 0.8009999999999999)","(1, 0.9490000000000001)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)"
3588,SCZ,n,3,y,0.0,"(0, 0.0)","(0, 0.23600000000000002)","(1, 0.591)","(0, 0.31)","(0, 0.304)","(0, 0.17800000000000002)","(0, 0.276)","(0, 0.14800000000000002)","(0, 0.0)","(0, 0.0)","(1, 0.42200000000000004)","(1, 0.39)","(1, 0.67)","(1, 0.758)","(1, 0.863)","(0, 0.578)","(1, 0.64)","(0, 0.40700000000000003)","(0, 0.225)","(1, 0.439)"
3588,SCZ,n,4,n,0.0,"(0, 0.0)","(0, 0.19899999999999998)","(0, 0.20600000000000002)","(0, 0.18)","(0, 0.11599999999999999)","(0, 0.184)","(0, 0.009000000000000001)","(0, 0.043)","(1, 0.433)","(0, 0.079)","(0, 0.006)","(0, 0.0)","(0, 0.0)","(1, 0.42)","(1, 0.7170000000000001)","(1, 0.7090000000000001)","(1, 0.741)","(0, 0.593)","(1, 0.687)","(1, 0.835)"
3588,SCZ,n,5,y,1.0,"(1, 1.0)","(1, 0.816)","(1, 0.6940000000000001)","(1, 0.85)","(1, 0.8270000000000001)","(0, 0.589)","(1, 0.7709999999999999)","(1, 0.764)","(1, 0.882)","(1, 1.0)","(1, 0.981)","(1, 1.0)","(1, 1.0)","(0, 0.623)","(1, 0.7559999999999999)","(1, 0.741)","(1, 1.0)","(0, 0.40299999999999997)","(1, 1.0)","(1, 1.0)"
3622,SCZ,n,1,n,0.0,"(0, 0.34299999999999997)","(0, 0.642)","(0, 0.29600000000000004)","(0, 0.24)","(0, 0.6679999999999999)","(0, 0.3)","(1, 0.7090000000000001)","(0, 0.42200000000000004)","(0, 0.261)","(0, 0.625)","(0, 0.24600000000000002)","(0, 0.41100000000000003)","(0, 0.6679999999999999)","(0, 0.212)","(0, 0.191)","(1, 0.6920000000000001)","(0, 0.154)","(0, 0.392)","(0, 0.61)","(0, 0.223)"
3622,SCZ,n,2,n,0.0,"(0, 0.13699999999999998)","(0, 0.308)","(0, 0.39799999999999996)","(0, 0.61)","(0, 0.16699999999999998)","(0, 0.606)","(0, 0.043)","(1, 0.392)","(1, 0.797)","(1, 0.67)","(1, 0.38299999999999995)","(1, 0.608)","(1, 0.807)","(1, 0.677)","(1, 0.863)","(1, 0.711)","(0, 0.203)","(1, 0.677)","(1, 0.293)","(1, 0.66)"
3622,SCZ,n,3,n,0.0,"(0, 0.22699999999999998)","(0, 0.259)","(0, 0.36200000000000004)","(1, 0.777)","(0, 0.42)","(1, 0.617)","(1, 0.8029999999999999)","(0, 0.22899999999999998)","(0, 0.304)","(0, 0.7090000000000001)","(1, 0.687)","(1, 0.7)","(0, 0.319)","(0, 0.325)","(0, 0.657)","(1, 0.8540000000000001)","(1, 0.39399999999999996)","(0, 0.184)","(1, 0.722)","(0, 0.195)"
3622,SCZ,n,4,n,0.0,"(0, 0.231)","(0, 0.223)","(1, 0.7020000000000001)","(0, 0.203)","(0, 0.375)","(1, 0.617)","(1, 0.679)","(0, 0.293)","(0, 0.105)","(0, 0.39799999999999996)","(0, 0.313)","(0, 0.675)","(1, 0.6920000000000001)","(0, 0.19899999999999998)","(0, 0.728)","(0, 0.122)","(0, 0.289)","(0, 0.591)","(0, 0.23800000000000002)","(0, 0.597)"
