ID,Group,Prt_Exclude,Sequence,Seq_Exclude,Bag_Origin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1076,NT,n,1,n,0.0,"(1, 0.7340000000000001)","(0, 0.767)","(0, 0.22699999999999998)","(0, 0.272)","(0, 0.163)","(0, 0.201)","(0, 0.21)","(0, 0.20600000000000002)","(0, 0.24600000000000002)","(0, 0.191)","(0, 0.0)","(0, 0.14300000000000002)","(0, 0.049)","(0, 0.152)","(1, 0.726)","(0, 0.7879999999999999)","(1, 0.797)","(0, 0.846)","(0, 0.163)","(0, 0.20800000000000002)"
1076,NT,n,2,n,1.0,"(1, 0.792)","(1, 0.799)","(1, 0.805)","(1, 0.7859999999999999)","(1, 1.0)","(1, 1.0)","(1, 0.797)","(1, 0.897)","(1, 0.893)","(0, 0.807)","(0, 0.79)","(0, 0.195)","(0, 0.171)","(1, 0.156)","(0, 0.14800000000000002)","(0, 0.099)","(0, 0.165)","(0, 0.161)","(0, 0.09)","(0, 0.0)"
1076,NT,n,3,n,0.0,"(0, 0.163)","(1, 0.152)","(0, 0.792)","(0, 0.135)","(1, 0.182)","(1, 0.8370000000000001)","(1, 0.779)","(1, 0.8270000000000001)","(1, 0.872)","(0, 0.857)","(0, 0.797)","(0, 0.08800000000000001)","(0, 0.17800000000000002)","(0, 0.268)","(0, 0.218)","(1, 0.154)","(1, 0.24)","(0, 0.15)","(0, 0.163)","(0, 0.156)"
1076,NT,n,4,n,1.0,"(1, 0.7859999999999999)","(1, 0.85)","(1, 0.857)","(1, 0.8420000000000001)","(0, 0.7340000000000001)","(1, 0.7879999999999999)","(0, 0.7859999999999999)","(1, 0.835)","(1, 0.831)","(0, 0.792)","(1, 0.848)","(0, 0.7859999999999999)","(1, 0.872)","(1, 0.9420000000000001)","(1, 1.0)","(1, 1.0)","(0, 0.672)","(1, 0.807)","(1, 0.8540000000000001)","(1, 1.0)"
1076,NT,n,5,n,1.0,"(1, 0.784)","(1, 0.8390000000000001)","(1, 0.852)","(1, 0.8009999999999999)","(1, 0.8240000000000001)","(0, 0.76)","(0, 0.745)","(0, 0.16699999999999998)","(1, 0.165)","(1, 0.135)","(1, 0.336)","(1, 0.242)","(1, 0.8009999999999999)","(1, 0.794)","(0, 0.857)","(0, 0.889)","(0, 0.8540000000000001)","(0, 0.257)","(0, 0.20800000000000002)","(0, 0.22899999999999998)"
2253,NT,n,1,n,0.0,"(1, 0.7090000000000001)","(0, 0.597)","(0, 0.31)","(0, 0.14300000000000002)","(0, 0.0)","(0, 0.0)","(0, 0.015)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(1, 0.0)","(0, 0.0)","(1, 0.203)","(0, 0.107)","(0, 0.0)","(0, 0.0)"
2253,NT,n,2,n,1.0,"(1, 0.602)","(1, 0.8009999999999999)","(1, 0.9059999999999999)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 0.6920000000000001)","(0, 0.61)","(0, 0.298)","(0, 0.075)","(1, 0.315)","(0, 0.10099999999999999)","(0, 0.013000000000000001)","(0, 0.026000000000000002)","(0, 0.0)","(0, 0.0)","(0, 0.0)"
2253,NT,n,3,n,0.0,"(0, 0.3)","(1, 0.308)","(0, 0.111)","(0, 0.0)","(1, 0.3)","(1, 0.698)","(1, 0.8420000000000001)","(1, 0.991)","(1, 1.0)","(0, 0.85)","(0, 0.3)","(0, 0.084)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(1, 0.013000000000000001)","(1, 0.728)","(0, 0.308)","(0, 0.026000000000000002)","(0, 0.006)"
2253,NT,n,4,n,1.0,"(1, 0.797)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 0.914)","(1, 1.0)","(0, 0.807)","(1, 1.0)","(1, 1.0)","(0, 0.7859999999999999)","(1, 0.9590000000000001)","(0, 0.69)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 0.782)","(1, 1.0)","(1, 1.0)","(1, 0.996)"
2253,NT,n,5,n,1.0,"(1, 0.698)","(1, 0.85)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 0.889)","(0, 0.608)","(0, 0.251)","(1, 0.375)","(1, 0.619)","(1, 0.743)","(1, 0.912)","(1, 1.0)","(1, 1.0)","(0, 0.8029999999999999)","(0, 0.6)","(0, 0.39)","(0, 0.298)","(0, 0.009000000000000001)","(0, 0.002)"
